reviewScore,genres,runtime,name,titleId
6.5,"Animation,Comedy,Drama",98 min,Insect,tt5783476
5.5,"Action,Adventure,Comedy",101 min,Psychokinesis,tt6890582
8.6,Comedy,,Gulabjaam,tt8037610
7.2,"Biography,Drama,War",98 min,The Catcher Was a Spy,tt4602066
6.7,Drama,115 min,3 Days in Quiberon,tt6463494
8.2,Drama,95 min,And Breathe Normally,tt6776106
6.2,"Animation,Comedy,Family",85 min,Maya the Bee: The Honey Games,tt6685596
9.6,Drama,,Delaware Shore,tt6074834
6.7,"Comedy,Drama",,Talq Senaee,tt7833952
7.9,Drama,127 min,The Reports on Sarah and Saleem,tt7158582
4.7,Drama,90 min,#SquadGoals,tt6540984
7.6,"Action,Drama,Thriller",95 min,The Lost Strait,tt7897306
5.2,Thriller,90 min,Stalked by a Reality Star,tt8019044
2.2,Comedy,,La pena máxima,tt8007436
5.8,Drama,86 min,Tyrel,tt6729000
6.9,"Adventure,Drama",117 min,Till the End of the World,tt7962598
reviewScore,genres,runtime,name,titleId
7.8,"Action,Adventure,Sci-Fi",134 min,Black Panther,tt1825683
5.6,"Horror,Mystery,Sci-Fi",102 min,The Cloverfield Paradox,tt2548396
6.3,Comedy,110 min,Enes Batur Hayal mi Gerçek mi?,tt7668842
6.8,"Drama,Mystery,Thriller",140 min,Red Sparrow,tt2873282
7.4,"Comedy,Crime,Mystery",100 min,Game Night,tt2704998
6.0,"Action,Adventure,Sci-Fi",111 min,Pacific Rim: Uprising,tt2557478
6.4,"Comedy,Fantasy,Romance",97 min,When We First Met,tt5783956
4.4,"Drama,Romance,Thriller",105 min,Fifty Shades Freed,tt4477536
3.3,"Horror,Thriller",94 min,The Open House,tt7608028
7.2,"Drama,History,Romance",164 min,Padmaavat,tt5935704
4.2,"Adventure,Family,Fantasy",109 min,A Wrinkle in Time,tt1620680
6.8,"Biography,Comedy,Drama",113 min,"Don't Worry, He Won't Get Far on Foot",tt6288124
6.9,"Action,Drama,History",130 min,12 Strong,tt1413492
8.1,"Comedy,Drama,Romance",110 min,"Love, Simon",tt5164432
6.6,"Action,Crime,Drama",107 min,Death Wish,tt1137450
8.2,"Animation,Adventure,Comedy",101 min,Isle of Dogs,tt5104604
6.5,"Animation,Adventure,Comedy",95 min,Peter Rabbit,tt5117670
5.1,"Drama,History,Thriller",94 min,The 15:17 to Paris,tt6802308
7.7,"Comedy,Romance",138 min,Sonu Ke Titu Ki Sweety,tt7581902
6.8,"Horror,Thriller",98 min,Unsane,tt7153766
6.3,"Animation,Adventure,Comedy",89 min,Early Man,tt4701724
8.6,"Crime,Mystery,Thriller",139 min,Ira,tt7601308
